,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-3.5090384,-0.9402466,4.8566575,1.8891691,-2.650712,1.3600155,2.2816875,21.024574,-5.4307704,-5.3472424,7.719178,12.179432,25.46038,3.193063,5.4194455,8.688471,5.204341,0.017178863,-2.790172,-5.1729145,1.8672862,-4.5712557,1.7245616,-15.770551,4.1474247,-9.607865,-9.714529,-12.788468,-24.881733,4.322941,-3.119761,58.84938
1,-0.5475813,-0.49024415,2.3047767,1.2094312,1.493635,-0.06406614,3.6152675,12.940661,0.103848785,-6.970022,0.6514456,6.524688,4.1471334,-0.16792838,2.1892242,15.297731,7.3218784,-3.3722477,-7.043491,-8.74811,-1.8107536,2.0800807,-5.786107,-18.026146,-2.014985,7.803241,-5.0008717,-13.876543,-10.07342,3.3525858,-7.93275,42.367546
2,-0.24031587,-0.08162718,0.64567137,-0.7884813,1.5094652,0.55449516,2.5504382,7.7805963,0.09205838,-2.8010721,-0.117945604,4.7633915,0.5057301,-0.01397994,1.8256352,15.239845,5.466277,-4.39541,-6.6703725,-1.7198766,-3.4835691,-4.7884727,-7.8160305,-16.611803,-1.07258,2.2622223,-2.4655378,-14.725043,-2.879781,0.8016648,-11.994899,40.470215
3,-0.2838972,0.020660723,-0.27754092,-0.751765,0.50607824,1.1612573,1.6682026,4.1730976,0.0657136,-1.0763712,-0.28624487,2.446012,0.19916786,-0.17591394,1.4183137,15.1381645,4.222063,-5.8670554,-4.4997683,-3.1985865,-2.606883,-11.824808,-6.897155,-13.363997,-0.117966115,-1.5801888,-0.26453924,-11.119492,-1.9297113,-0.112758905,-10.951059,29.808891
4,-0.37034395,-0.04669921,-0.5497392,-0.5669246,-0.11186825,1.3882622,1.089958,2.4541302,-0.016744707,-0.055688407,-0.50067353,1.1090368,0.089541644,-0.4821632,0.976896,14.449405,3.535078,-5.9439373,-2.5016546,-4.0461435,-1.7167931,-17.180443,-5.739503,-11.851374,0.6909765,-4.900135,2.5684495,-8.328638,-2.0662766,0.3481264,-6.3060155,20.467709
5,-0.30907413,-0.044679776,-0.77579993,-0.36449966,-0.4413967,1.525934,0.7446506,1.5895623,-0.09848148,0.7003651,-0.5866904,0.2849558,0.019951098,-0.70892584,0.7362473,13.843502,0.9943777,-5.0533915,0.06383117,-4.028736,-1.2314227,-21.31572,-6.481526,-10.990345,0.4740886,-7.2944207,4.4380746,-7.180962,-1.668257,1.7201743,-1.2854047,16.370028
6,-0.2715428,0.053570405,-0.84375083,-0.21775226,-0.55500156,1.5408468,0.5165492,1.1853955,-0.44003952,1.1786929,-0.49282938,-0.47984308,0.102238774,-0.7958535,0.8005707,13.49802,-3.4467328,-4.353071,2.6815324,-4.3294873,-1.0889064,-21.505337,-8.1987505,-9.617803,2.2958546,-8.602209,4.636347,-5.002553,-1.1861039,2.9776468,0.69775563,15.34483
7,-0.21104538,0.35404897,-0.5096207,-0.21943852,-0.6149365,1.5689502,0.23473062,1.0495813,-0.7808996,1.2908275,-0.2701898,-1.8218119,0.37624294,-0.52736676,0.9024576,13.507784,-9.839232,-5.117818,3.6625245,-5.8202343,-0.2104751,-16.957853,-6.787539,-7.116066,4.5179048,-9.78866,2.7168899,1.9700172,0.6400008,2.5568905,0.68857706,20.208988
8,0.21761687,0.21567291,-0.034011878,-0.75115114,-0.6249266,1.0809548,-0.121643715,0.9934372,-0.77871037,1.1307791,0.16508889,-3.3001182,0.70656353,-0.22450271,0.72611696,14.604897,-18.388569,-4.4461675,3.1298742,-4.576153,2.8593135,-5.094347,1.3751945,-2.9469056,14.542186,-15.275959,0.81058264,16.15546,4.045485,0.36197847,0.88919723,33.124786
9,1.0652776,-0.54073894,0.048476286,-0.51651335,-0.38670683,0.7433512,-0.19953293,1.043963,-0.19923347,0.55622363,0.21737108,-2.9679105,0.5463861,0.2929402,-0.18247421,16.217953,-38.374542,1.8879243,2.5442235,-5.370984,-11.347147,3.9704819,-2.9739747,-1.8179758,29.528095,-16.177168,4.510292,21.460558,-0.14715531,-2.896942,16.890345,41.932472
10,1.0489385,-0.9741372,0.01792433,-0.5221292,-0.13931751,0.5522287,-0.1594207,0.9533997,-0.37397653,-0.037906125,-0.10794027,-1.4348344,-0.16089283,0.9517526,-0.7761455,16.550896,-44.467026,9.016523,2.2276669,-5.8247676,-48.963943,13.291779,-9.064569,-2.5417652,25.63008,-3.0473347,13.662199,8.678408,-5.522381,-7.172015,30.156036,36.956825
11,-0.8911952,-0.88166296,0.33138838,-2.109526,-0.10761379,-0.16645436,-0.22254145,0.8537801,-1.3785968,0.6031693,-0.41756746,0.1809023,0.9172968,1.1461465,-0.23521279,13.851546,30.568495,10.779771,2.787825,3.3125675,-46.41386,19.878462,0.19943738,-5.388733,-5.5099297,-4.4576507,22.457388,-17.3667,30.26394,-11.936922,36.854385,29.824608
12,-1.4968455,-0.77215666,0.41133466,-1.9786708,-0.10102363,-0.877997,-0.1903687,1.0316384,-0.9054043,1.112632,0.011846092,0.8452829,1.5803664,0.6325808,-0.031406026,12.300519,49.870667,11.892643,3.7816362,5.276684,-49.790398,18.960396,18.27491,-10.300192,-7.450379,-17.31897,18.433327,-34.220352,49.23684,-9.054277,23.68732,37.75299
13,-1.1624348,-0.4932899,0.22053266,-1.2582865,-0.16192725,-0.97768223,-0.012701329,0.34582114,-0.44925654,0.8673299,-0.15852126,0.85850203,1.352229,0.13610163,0.0042505264,11.082611,8.298777,8.911657,4.726557,4.472973,-80.408936,18.922436,30.54881,-4.148149,8.313644,-17.889439,21.90303,-45.09512,46.640465,-0.7990793,-9.0608225,47.47737
14,-1.2301657,-0.35280287,-0.054124027,-0.22410667,-0.3725353,-1.0051618,0.6824377,-0.461053,-0.31209108,0.4225524,-0.19065362,0.68909705,0.92694837,-0.34182423,0.085724585,9.747131,-43.014534,6.005853,4.669573,1.4757627,-99.41821,22.57475,23.77459,7.079219,16.751007,0.60531217,17.34972,-63.249947,41.67462,8.316088,-18.659737,59.768745
15,-1.191867,-0.36978832,-0.3452797,0.50396794,-0.67809165,-0.407856,1.3928368,-0.64485216,-0.5385468,-0.05910451,-0.28884435,0.18352702,0.23272365,-0.47339308,0.46971694,9.109821,-49.025505,5.01289,2.846305,-0.93768203,-76.928955,19.815025,9.779776,6.137447,16.733181,14.592433,18.019333,-80.57325,29.94114,15.705005,-25.554043,68.96657
16,-1.2003405,-0.28229627,-0.37916595,0.54232633,-0.88156176,0.38348508,1.3212149,-0.34840244,-0.8159308,-1.1037188,-0.2659418,-0.24511763,-0.67700124,-0.436571,0.651347,10.384727,-6.3891907,5.6233244,0.7168089,-0.8686258,-75.21037,12.397684,12.799612,-5.8925304,9.770767,28.741943,25.74403,-88.65759,14.244089,16.939224,-57.468803,71.32854
17,-1.2632282,-0.25541347,-0.3804385,0.5593301,-1.0398282,0.5426475,0.88896406,-0.10557912,-1.3877139,-2.2500138,-0.20665954,-0.5018023,-1.0082822,-0.43698668,0.507069,12.924669,88.108894,6.5467815,-0.80821896,-3.2744126,-86.80483,6.1361475,15.334994,-7.8334436,18.307209,49.35846,39.76288,-72.84937,9.753,19.049618,-52.92859,74.03563
18,-1.4130414,-0.30237314,-0.33661467,0.20854852,-1.1019628,0.47322226,0.19590157,0.40939015,-2.3302088,-3.1040363,-0.06207353,-0.5110186,-0.7665243,-0.44105095,0.33008698,15.628356,309.3991,7.5191755,-1.4502375,-4.9411297,-49.477745,2.1509504,-2.5094628,-12.262249,47.12481,69.08269,51.78401,-39.273144,9.386724,14.225882,-26.564331,74.45349
19,-1.4501787,-0.28920367,-0.29585892,-0.08482903,-1.1192505,0.5663818,-0.42734233,0.36940405,-2.1526167,-3.4998465,-0.05464729,-0.33134055,-0.41541278,-0.37080112,0.29201013,17.430357,444.1515,6.9401307,-2.7999647,-5.919811,-33.4337,-0.028163463,-2.3161669,-1.3434713,44.082348,66.16878,57.906147,-9.652759,0.86066633,4.1138906,-14.974775,76.089
20,-1.0182781,-0.19253778,-0.3274627,-0.22656219,-1.1016436,0.7713448,-0.6993187,0.46904802,-1.3833077,-3.375561,0.06592068,-0.09033405,-0.016519986,-0.27771735,0.20854731,18.525543,292.93967,2.8977785,-4.4666843,-8.5351095,12.146493,1.842002,0.41986692,-2.1168027,31.134083,58.883923,46.15815,23.26522,-15.94944,-15.565236,-1.6528466,75.31684
21,-0.36087406,-0.030439239,-0.38406065,-0.233475,-1.0644494,0.8830008,-0.6251447,0.6193545,-0.888967,-2.7804537,0.48297366,0.20477614,0.47677502,-0.23951021,0.10284995,19.830048,54.358765,-1.8149015,-4.4435215,-10.943209,4.582894,3.3481886,11.569151,-5.667659,33.76328,51.453842,-6.4849505,55.616257,-31.980858,-25.245003,2.554541,68.686356
