,Epoch,Train MSE,Train RMSE,mse_val,rmse_val,mae_val
0,0.0,3888.5943359375,62.358594723883094,3281.345947265625,57.283033677220914,54.39828109741211
1,1.0,2930.853564453125,54.137358306931866,2591.56591796875,50.907424978766606,47.65610122680664
2,2.0,2328.1947998046876,48.2513709629549,2007.7042236328125,44.80741259694441,41.0781364440918
3,3.0,1799.1697265625,42.416620876285045,1542.5897216796875,39.2758159899917,34.958984375
4,4.0,1368.6924194335938,36.99584327236769,1178.68115234375,34.33192613798052,29.380876541137695
5,5.0,1055.6427795410157,32.49065680378,904.362060546875,30.07261313133388,24.704023361206055
6,6.0,798.3632507324219,28.25532252041059,694.892578125,26.36081520220875,20.894004821777344
7,7.0,629.1038879394531,25.081943464162684,554.9852905273438,23.558125785540405,18.321863174438477
8,8.0,497.875048828125,22.31311383084228,460.78369140625,21.46587271475935,16.607555389404297
9,9.0,423.85963745117186,20.587851695870842,394.09637451171875,19.851860731722827,15.404595375061035
10,10.0,368.71067810058594,19.201840487322716,334.8542175292969,18.299022310749198,14.02008056640625
11,11.0,320.5808410644531,17.904771460827227,274.3533935546875,16.563616560240927,12.000802993774414
12,12.0,265.39225006103516,16.290864005970807,229.48553466796875,15.148779972920881,10.693859100341797
13,13.0,206.6245132446289,14.374439580193341,185.23561096191406,13.610128984029286,9.339713096618652
14,14.0,163.11566772460938,12.771674429165872,148.903564453125,12.202604822460039,7.881930351257324
15,15.0,135.7918212890625,11.652974782821016,125.67194366455078,11.210349845769791,7.108665943145752
16,16.0,116.9525375366211,10.814459650700126,108.44375610351562,10.41363318460544,6.5636820793151855
17,17.0,101.36535911560058,10.068036507462644,93.76513671875,9.68323999076497,6.005536079406738
18,18.0,88.31727447509766,9.397727090903292,80.27790832519531,8.959793988993011,5.376733779907227
19,19.0,75.85940704345703,8.709730595343178,70.78289031982422,8.41325682003255,5.044889450073242
20,20.0,65.86037712097168,8.115440660923575,61.767704010009766,7.859243221202012,4.632383346557617
21,21.0,56.27049255371094,7.50136604584198,54.6652946472168,7.3935982205700626,4.360210418701172
22,22.0,51.59520225524902,7.182980040014661,47.716651916503906,6.9077240764599095,3.912607431411743
23,23.0,44.650092124938965,6.682072442359404,42.749080657958984,6.538278111090028,3.6738784313201904
24,24.0,41.23223533630371,6.421233163209673,41.08488464355469,6.409749187258008,4.009316444396973
25,25.0,38.83818416595459,6.232028896431289,35.034053802490234,5.918957154980109,3.3723771572113037
26,26.0,33.03932857513428,5.747984740335893,30.014429092407227,5.478542606606909,3.1310064792633057
27,27.0,29.704795837402344,5.450210623214698,31.054887771606445,5.572691250339143,3.720325231552124
28,28.0,26.436594009399414,5.141652848005145,24.888946533203125,4.988882292979373,3.0768327713012695
29,29.0,22.20288505554199,4.711993745278318,21.694494247436523,4.657734883764481,2.706915855407715
30,30.0,21.02755241394043,4.58558092436939,19.80150032043457,4.4498876750356935,2.536850690841675
31,31.0,18.958523654937743,4.354138681178832,18.834228515625,4.339841992011345,2.5832388401031494
32,32.0,18.355601692199706,4.284343787816251,17.143035888671875,4.140414941605718,2.419602155685425
33,33.0,16.6013090133667,4.074470396673253,15.582808494567871,3.9475066174191364,2.2536332607269287
34,34.0,15.153359031677246,3.8927315642973954,14.623188018798828,3.8240277220227927,2.198293924331665
35,35.0,14.757512760162353,3.841550827486518,15.961413383483887,3.995173761363063,2.6106295585632324
36,36.0,15.237594318389892,3.9035361300223537,14.933521270751953,3.8643914489544087,2.510068893432617
37,37.0,13.484222507476806,3.67208694170996,13.17532730102539,3.629783368332798,2.238412380218506
38,38.0,12.945521354675293,3.5979885150838506,12.060866355895996,3.472875804847619,2.0974814891815186
39,39.0,12.265417003631592,3.502201736569667,11.153347969055176,3.3396628526028156,2.002695322036743
40,40.0,11.46253776550293,3.3856369807619555,10.517367362976074,3.243049084268703,1.9322758913040161
41,41.0,10.668774890899659,3.266309062366827,9.856244087219238,3.1394655735043884,1.876137614250183
42,42.0,10.224741363525391,3.1976149492278445,9.614950180053711,3.1007983133466954,1.8793959617614746
43,43.0,9.292120981216431,3.048298046651021,8.992972373962402,2.9988285002584596,1.8096469640731812
44,44.0,8.910131645202636,2.9849843626395494,8.61832046508789,2.9356976113162423,1.777238130569458
45,45.0,8.693677139282226,2.948504220665493,9.23376750946045,3.0387114883549655,2.0053927898406982
46,46.0,8.957203149795532,2.992858691919071,8.801877975463867,2.9667959106524107,1.949728012084961
47,47.0,8.212202739715575,2.865694111330722,7.658356189727783,2.7673735182890984,1.7071791887283325
48,48.0,7.886882257461548,2.8083593533345317,7.345339775085449,2.710228731137918,1.680870532989502
49,49.0,7.988161659240722,2.826333607209298,7.528160572052002,2.743749363927398,1.7609540224075317
50,50.0,7.595704841613769,2.75603063147233,6.90399169921875,2.627544804416996,1.6446444988250732
51,51.0,7.163743925094605,2.6765171258735867,7.1335906982421875,2.6708782634635724,1.7574766874313354
52,52.0,7.652609014511109,2.766334942574942,6.384716510772705,2.5267996578226586,1.5923632383346558
53,53.0,6.899869680404663,2.6267603012845813,7.061227798461914,2.657297085096417,1.808803915977478
54,54.0,8.091712141036988,2.8445934931088113,9.763683319091797,3.124689315610721,2.3461010456085205
55,55.0,7.70065655708313,2.775005685955099,7.315374851226807,2.704694964543471,1.879927158355713
56,56.0,6.6794740676879885,2.5844678500008444,6.167477130889893,2.4834405833218343,1.6230629682540894
57,57.0,6.385222911834717,2.526899861853397,5.993164539337158,2.448094062599956,1.5888450145721436
58,58.0,5.859723806381226,2.4206866394436983,5.593566417694092,2.365072180229198,1.5315486192703247
59,59.0,5.665304255485535,2.380189962058813,5.383783340454102,2.3202981145650448,1.507593035697937
60,60.0,5.619385194778443,2.3705242447143298,5.211726665496826,2.282920643714281,1.482638955116272
61,61.0,5.244957613945007,2.290187244297943,5.142699718475342,2.2677521289760354,1.4938855171203613
62,62.0,5.289756488800049,2.299947062173399,5.031958103179932,2.243202644252171,1.4749979972839355
63,63.0,5.303437805175781,2.302919409179527,4.972349643707275,2.2298765983137443,1.454045295715332
64,64.0,5.025945615768433,2.2418620866967784,4.737791061401367,2.176646747040357,1.4061840772628784
65,65.0,4.990328526496887,2.233904323487666,4.57789421081543,2.1396014140057558,1.3987311124801636
66,66.0,5.683821058273315,2.384076563005751,5.151115417480469,2.269606886110559,1.5453994274139404
67,67.0,5.570086884498596,2.3601031512411903,4.949891567230225,2.224835177542423,1.5101184844970703
68,68.0,4.864050245285034,2.2054591914803217,4.744714260101318,2.1782365023342436,1.4676265716552734
69,69.0,4.901832580566406,2.214008261178446,4.287363529205322,2.0705949698589827,1.3341530561447144
70,70.0,4.524813485145569,2.1271608978038237,4.232384204864502,2.0572759185059506,1.3564611673355103
71,71.0,4.40897262096405,2.0997553716954864,4.540530204772949,2.130851990348684,1.4296519756317139
72,72.0,4.873530626296997,2.207607443885121,4.8506083488464355,2.202409668714346,1.5391653776168823
73,73.0,5.0098491430282595,2.238269229344017,4.799177646636963,2.1907025463620027,1.5426440238952637
74,74.0,4.894210529327393,2.212286267490578,4.377838611602783,2.09232851426414,1.432184100151062
75,75.0,4.430317306518555,2.1048318950734655,4.283429145812988,2.069644690716981,1.397214412689209
76,76.0,4.171089935302734,2.0423246400371156,3.8659896850585938,1.966212014269721,1.2954713106155396
77,77.0,4.056005644798279,2.0139527414510696,4.391082286834717,2.095490941720989,1.474727749824524
78,78.0,4.414395213127136,2.101046218703229,4.2072601318359375,2.0511606791853088,1.4093388319015503
79,79.0,4.4013529300689695,2.0979401636054757,3.8385820388793945,1.959229960693587,1.3255765438079834
80,80.0,4.111224102973938,2.0276153735296885,3.9384560585021973,1.9845543727754595,1.3421403169631958
81,81.0,3.77747757434845,1.9435734033857455,3.830070734024048,1.9570566506935991,1.3270230293273926
82,82.0,3.9382957458496093,1.9845139822761666,3.814659357070923,1.9531152953860462,1.3069889545440674
83,83.0,3.9005624055862427,1.9749841532493984,3.7502329349517822,1.936551815715702,1.3047713041305542
84,84.0,3.8633275032043457,1.965534915284983,3.6708855628967285,1.9159555221603473,1.2824474573135376
85,85.0,4.042878866195679,2.0106911414226896,3.780113458633423,1.9442513877154421,1.3207528591156006
86,86.0,3.966728377342224,1.9916647251337822,4.267824172973633,2.0658712866424263,1.4671802520751953
87,87.0,5.374265480041504,2.3182462078134636,7.88188362121582,2.8074692556136425,2.256148338317871
88,88.0,6.168759202957153,2.4836986940764683,5.284261703491211,2.298752205761032,1.6567286252975464
89,89.0,5.392548561096191,2.3221861598709506,4.8139424324035645,2.1940698330735886,1.623193621635437
90,90.0,4.331763410568238,2.0812888820555973,3.701718807220459,1.9239851369541447,1.3220070600509644
91,91.0,3.992617106437683,1.9981534241488272,3.6060636043548584,1.8989638238668103,1.3095225095748901
92,92.0,3.917780804634094,1.979338476520399,4.158175945281982,2.0391605982075034,1.4777169227600098
93,93.0,3.9447046279907227,1.9861280492432312,4.310110092163086,2.0760804637978474,1.4970999956130981
94,94.0,3.7872898817062377,1.946096061787865,3.453369379043579,1.8583243471050954,1.270540475845337
95,95.0,3.5677315950393678,1.8888439837740352,4.037607192993164,2.0093798030718744,1.4531121253967285
